artist,genre_id,genre
Nicki Minaj,18,Hip Hop/Rap
Drake,7,Electronic
Drake,14,Pop
Drake,17,Dance
Drake,18,Hip Hop/Rap
Drake,23,Vocal
Drake,1153,Heavy Metal
Jason Aldean,6,Country
Imagine Dragons,20,Alternative
Cardi B,18,Hip Hop/Rap
Ed Sheeran,10,Singer/Songwriter
Chris Stapleton,6,Country
Chris Stapleton,11,Jazz
Cole Swindell,6,Country
Dua Lipa,14,Pop
Godsmack,21,Rock
5 Seconds of Summer,14,Pop
Bad Wolves,1153,Heavy Metal
Shawn Mendes,14,Pop
XXXTENTACION,18,Hip Hop/Rap
Cory Asbury,22,Christian & Gospel
Carrie Underwood,6,Country
Carrie Underwood,14,Pop
Carrie Underwood,20,Alternative
Demi Lovato,14,Pop
Brett Young,6,Country
Brett Young,10,Singer/Songwriter
ZAYN,14,Pop
ZAYN,15,R&B/Soul
ZAYN,16,Soundtrack
ZAYN,18,Hip Hop/Rap
ZAYN,1153,Heavy Metal
ZAYN,1866,Modern Dancehall
Florence + The Machine,20,Alternative
Bazzi,14,Pop
Kane Brown,6,Country
Camila Cabello,14,Pop
Meghan Trainor,14,Pop
Luke Combs,6,Country
Maroon 5,14,Pop
Maroon 5,21,Rock
MercyMe,21,Rock
MercyMe,22,Christian & Gospel
Luke Bryan,6,Country
Luke Bryan,21,Rock
Jordan Davis,6,Country
Taylor Swift,14,Pop
Lil Pump,18,Hip Hop/Rap
Alice Merton,20,Alternative
Portugal. The Man,20,Alternative
Dan + Shay,6,Country
Dierks Bentley,6,Country
Foster the People,20,Alternative
NF,18,Hip Hop/Rap
The Weeknd,15,R&B/Soul
Loren Allred,14,Pop
Migos,18,Hip Hop/Rap
P!nk,12,Latin
P!nk,14,Pop
P!nk,16,Soundtrack
Rich The Kid,18,Hip Hop/Rap
Post Malone,18,Hip Hop/Rap
Ghost,20,Alternative
Lauv,7,Electronic
Lauv,11,Jazz
Lauv,14,Pop
Lauv,17,Dance
Blake Shelton,6,Country
Jake Owen,6,Country
Offset feat. Metro Boomin,18,Hip Hop/Rap
tobyMac,22,Christian & Gospel
Bishop Briggs,14,Pop
Bishop Briggs,20,Alternative
Allen Stone,15,R&B/Soul
Justin Timberlake,14,Pop
Halsey,7,Electronic
Halsey,17,Dance
Halsey,20,Alternative
Daddy Yankee,1119,Latin Urban
Daddy Yankee,12,Latin
Khalid,14,Pop
Khalid,15,R&B/Soul
Khalid,18,Hip Hop/Rap
Khalid,1204,Asia
Sleeping At Last,10,Singer/Songwriter
Selena Gomez feat. Marshmello,14,Pop
Jackson Krecioch,14,Pop
Ella Mai,15,R&B/Soul
Sam Hunt,6,Country
Sam Hunt,14,Pop
Sam Hunt,20,Alternative
Devin Dawson,6,Country
N.E.R.D feat. Rihanna,18,Hip Hop/Rap
Charlie Puth,14,Pop
Chris Janson,6,Country
Zach Williams,10,Singer/Songwriter
Zach Williams,22,Christian & Gospel
Calum Scott,14,Pop
Bruno Mars,14,Pop
Walk The Moon,14,Pop
Walk The Moon,17,Dance
Walk The Moon,20,Alternative
Hillsong UNITED,22,Christian & Gospel
Old Dominion,6,Country
Andra Day,15,R&B/Soul
Brett Eldredge,6,Country
Famous Dex,18,Hip Hop/Rap
Disturbed,17,Dance
Disturbed,21,Rock
The Cranberries,14,Pop
The Cranberries,20,Alternative
The Cranberries,21,Rock
The Cranberries,24,Reggae
Janelle Monáe,15,R&B/Soul
Janelle Monáe,18,Hip Hop/Rap
Empire Cast,18,Hip Hop/Rap
CHVRCHES,20,Alternative
LANCO,6,Country
Brothers Osborne,6,Country
lovelytheband,20,Alternative
Kid Cudi,18,Hip Hop/Rap
J Balvin,1119,Latin Urban
Five Finger Death Punch,21,Rock
Sofi Tukker,17,Dance
