artist,genre,genre_id,,,
12th Planet,Dubstep,100014,,,
2 Chainz,R&B,15,,,
2 Chainz,Hip Hop,18,,,
2 Chainz,Soul,15,,,
2 Chainz,Rap,18,,,
3LAU,Dance,17,,,
50 Cent,Hip Hop,18,,,
50 Cent,Rap,18,,,
7and5,New Age,13,,,
€¡rem Derici,Pop,14,,,
Abel Korzeniowski,Soundtrack,16,,,
Ace Hood,Hip Hop,18,,,
Ace Hood,Rap,18,,,
Adam Lambert,Pop,14,,,
Adam Lambert,Dance,17,,,
Adam Lambert,House,1048,,,
Adam Levine,Blues,2,,,
Adam Levine,Pop,14,,,
Adam Levine,Rock,21,,,
Aero Chord,Dance,17,,,
Afrojack,Dance,17,,,
Ahrix,Electronic,7,,,
Ahxello,Electronic,7,,,
Akon,Bollywood,1263,,,
Akon,Hip Hop,18,,,
Akon,Rap,18,,,
Alan Jackson,Country,6,,,
Alan Jackson,Soundtrack,16,,,
Alan Jackson,Christian & Gospel,22,,,
Alan Silvestri,Soundtrack,16,,,
Alan Walker,Electronic,7,,,
Alan Walker,Pop,14,,,
Alan Walker,Dance,17,,,
Alan Walker,House,1048,,,
Alan Walker,Singer,10,,,
Alan Walker,Songwriter,10,,,
Alesso,Dance,17,,,
Alex Goot,Singer,10,,,
Alex Goot,Songwriter,10,,,
Alex Skrindo,Electronic,7,,,
Alexandre Desplat,Soundtrack,16,,,
Aloe Blacc,Rock,21,,,
Aloe Blacc,R&B,15,,,
Aloe Blacc,Soul,15,,,
Alvaro Soler,Pop in Spanish,1117,,,
AndrÌ© Rieu,Classical,5,,,
Andrea Bocelli,Classical,5,,,
Andrew Lloyd Webber,Vocal,23,,,
Andy Grammer,Pop,14,,,
Andy McKee,Singer,10,,,
Andy McKee,Songwriter,10,,,
Andy Tubman,Pop,14,,,
Andy Williams,Holiday,8,,,
Andy Williams,Jazz,11,,,
Andy Williams,Latin,12,,,
Andy Williams,Pop,14,,,
Andy Williams,Soundtrack,16,,,
Andy Williams,World,19,,,
Andy Williams,Vocal,23,,,
Andy Williams,French Pop,50000064,,,
Andy Williams,Big Band,1052,,,
Andy Williams,Christmas,1080,,,
Anthony Hamilton,R&B,15,,,
Anthony Hamilton,Soul,15,,,
Antonio Vivaldi,Classical,5,,,
ÌÏmit Sayin,Indian Pop,1185,,,
Apollo Tribe,Hip Hop,18,,,
Apollo Tribe,Rap,18,,,
Arash,House,1048,,,
Arash,Trance,1051,,,
Arash,Pop,14,,,
Armik,New Age,13,,,
Armin van Buuren,Electronic,7,,,
Armin van Buuren,Latin,12,,,
Arthur Rubinstein,Classical,5,,,
ASAP Rocky,Pop,14,,,
ASAP Rocky,Hip Hop,18,,,
ASAP Rocky,Rap,18,,,
Astrix,Dance,17,,,
Astronaut,Dance,17,,,
Astronaut,Rock,21,,,
Astronomyy,Alternative,20,,,
ATB,Dance,17,,,
ATB,Rock,21,,,
Au5,Dance,17,,,
Audien,Dance,17,,,
August Alsina,R&B,15,,,
August Alsina,Soul,15,,,
Austin Mahone,Children's Music,4,,,
Austin Mahone,Electronic,7,,,
Austin Mahone,Pop,14,,,
Austin Mahone,Soundtrack,16,,,
Austin Wintory,Soundtrack,16,,,
Avens,Hip Hop,18,,,
Avens,Rap,18,,,
Avicii,Dance,17,,,
Axero,Dance,17,,,
Ayer,R&B,15,,,
Ayer,Soul,15,,,
B.B. King,Blues,2,,,
B.o.B,Pop,14,,,
B.o.B,Hip Hop,18,,,
B.o.B,Rap,18,,,
BÌ÷RNS,Alternative,20,,,
Babyface,Pop,14,,,
Babyface,Rock,21,,,
Babyface,J-Pop,27,,,
Babyface,Singer,10,,,
Babyface,R&B,15,,,
Babyface,Songwriter,10,,,
Babyface,Soul,15,,,
Bakermat,Dance,17,,,
Baptiste Giabiconi,Pop,14,,,
Barely Alive,Electronic,7,,,
Basshunter,Dance,17,,,
Bassjackers,Dance,17,,,
Beck,Alternative,20,,,
Beck,Rock,21,,,
Beck,Christian & Gospel,22,,,
Beck,Singer,10,,,
Beck,Songwriter,10,,,
Bergs,Electronic,7,,,
