,artist,genre,genre_id,track_name,lyric
0,Nicki Minaj,Hip Hop/Rap,18,Chun-Li,"Ayo, look like I'm goin' for a swim
Dunk on 'em, now I'm swingin' off the rim
Bitch ain't comin' off the bench
While I'm comin' off the court fully drenched
Here, get some haterade, get ya thirst quenched
Styled on 'em in this Burberry trench
These birds copy every word, every inch
But gang gang got the hammer and the wrench (brrr)
I pull up in that quarter milli off the lot
Oh, now she tryna be friends like I forgot
Show off my diamonds like I'm signed by the Roc
Ain't pushin' out his babies 'til he buy the rock

Ayo, I been on, bitch, you been conned
Bentley tints on, Fendi prints on
I mean I been Storm, X-Men been formed
He keep on dialin' Nicki like the Prince song
I-I-I been on, bitch, you been conned
Bentley tints on, Fendi prints on
Ayo, I been off, Lara been Croft
Plates say Chun-Li, drop the Benz off

Oh, I get it, they paintin' me out to be the bad guy
Well when's the last time you see a bad guy do the rap game like me?

I went and copped the chopsticks
Put it in my bun just to pop shit
I'm always in the top shit
Box seats, bitch, fuck the gossip
How many of them coulda did it with finesse?
Now everybody like, ""She really is the best.""
You play checkers, couldn't beat me playin' chess
Now I'm about to turn around and beat my chest
Bitch, it's King Kong, yes, it's King Kong
Bitch, it's King Kong, this is King Kong
Chinese ink on, Siamese links on
Call me 2 Chainz, name go ding dong
Bitch, it's King Kong, yes, I'm King Kong
This is King Kong? Yes, Miss King Kong
In my kingdom wit my Timbs on
How many championships? What? Six rings on

They need rappers like me, they need rappers like me
So they can get on their fucking keyboards and make me the bad guy, Chun-Li

Ayo, I been on, bitch, you been conned
Bentley tints on, Fendi prints on
I mean I been Storm, X-Men been formed
He keep on dialin' Nicki like the Prince song
I-I-I been on, bitch, you been conned
Bentley tints on, Fendi prints on
Ayo, I been off, Lara been Croft
Plates say Chun-Li, drop the Benz off

I come alive, I, I'm always sky high
Designer thigh highs, it's my lifestyle
I come alive, I, I'm always sky high
Designer thigh highs, it's my lifestyle
I need a Mai Tai, so fuckin' sci-fi
Gimme the password to the fuckin' wifi"
1,Nicki Minaj,Hip Hop/Rap,18,Barbie Tingz,"Dem-dem-dem-dem dem-dem
Dem-dem-dem-dem
Dem-dem-dem-dem dem-dem
Dem-dem-dem-dem

Uh, I'm in my prime, Optimus
Sagittarius, so you know I'm an optimist
Man, keep it all real, I'm a prophetess (okay)
So at least you took an L off your bucket list (bucket list)
It's time to make hits and it's time to diss
How you still dissin', still can't find some hits? (Okay)
Was it worth it, dummy? I ain't mind a bit
Still on that show gettin' no chips, time to dip

I, I, I, I-I, I-I, I (okay)
I'm still fly, just bagged a white guy (okay)
Ritchie like Guy and I still eat Thai
Want the Nicki cheat code? Come on, bitch, nice try

Let's be real, all you bitches wanna look like me
Wanna be in demand, get booked like me
Wanna run up in the lab and cook like me
But ain't nan you hoes pussy good like me
Pussy so good his ex wanna still fight me
Face so pretty bitches wish they could slice me
She just mad 'cause he never bought her ice like me
I cut all my niggas off, but they would still wife me (still wife me)

Rap bitches tell they team, ""Make 'em like Barbie""
Had to come off IG so they can't stalk me
All they do is copy looks, steal music too
Want to see what bitches do when they lose the blue-print
I mean the pinkprint, ho, let it sink in
I spoke to Jay the other day, he's still the kingpin
He's still the only nigga that I woulda signed to
If I ain't sign to Wayne's perfectly designed crew
'Cause we the big 3, don't need a big speech
We made the biggest impact, check the spreadsheet
That's Lil Weezy, the Barbie and Drizzy Drake
Niggas gettin' more cheese, kissy face
I'm a bad bitch, fuck the bitch (uh)
Bitch get slick, I'ma cut the bitch
I'm a bad bitch, suck some dick (okay)
If that bitch get slick, I'll cut the bitch
I'll cut up the bitch, I'll gut the bitch (okay)
Had to fuck up the bitch, man, fuck the bitch
Won't shoot her but I will gun-butt the bitch
When we say ""Fuck the bitch"" dick-up the bitch
She was stuck-up so my niggas stuck up the bitch
Still draggin' her so don't pick up the bitch
Get the combination to the safe, drug the bitch
Know the whole operation been bugged the bitch

I, I, I, I-I, I-I, I (okay)
I'm still fly, just bagged a white guy (okay)
Ritchie like Guy and I still eat Thai
Want the Nicki cheat code? Come on, bitch, nice try

Let's be real, all you bitches wanna look like me
Wanna be in demand, get booked like me
Wanna run up in the lab and cook like me
But ain't nan you hoes pussy good like me
Pussy so good his ex wanna still fight me
Face so pretty bitches wish they could slice me
She just mad 'cause he never bought her ice like me
I cut all my niggas off, but they would still wife me (still wife me)

They would still wife me
They would still wife me
Yup, him too, he would still wife me
Ah, ha
When it come to stealin' flows, these birds is fluent
But they stutter when get asked 'bout the queen's influence
When it's clear they bite me, I'm flattered they like me
I don't wanna check bitches, tell 'em wear their Nikes
Barbie tings, that's Barbie tings
Big Barbie tings, that's Barbie tings
Big Barbie tings, that's Barbie tings
Uh, Barbie dreamhouse, Barbie rings
That's Barbie beach house, Barbie Benz
Barbie white picket, Barbie fence
All tea, all shade, bitch, all offense
If you ever try to confiscate Barbie's ken
I'ma put you in the box where my dollies been
Chop it up and the next stop garbage bin
'Cause you hoes too old to be gossipin'
I'm just tryna find out when the new Porsche come in"
2,Nicki Minaj,Hip Hop/Rap,18,Beautiful Sinner,"South Africa is where I come from
Get me my banjo, get me my drum
Kidnap career and don't take ransom
Don't let me come out of my dungeon

Chu wan me to leave then take it d-down
You see me come out of England at dawn
You say the pattern come from Kingston
Trinidad Trinidad, my island

I see you in here dancin'
Your preview is quite romantic
I envy your perfect kind of life
Who knew you'd be so sexy
I think you're quite fantastic
Screw your flaws
You're perfect in my eyes

And maybe I'm naive for loving you
You're a cheat and a liar
But tonight you're everything I desire
You beautiful sinner
I love your wicked heart
Beautiful sinner
It's such a work of art

I didn't know that bad could love so good
You are the type of bad that feels so good

Beautiful sinner

I think you're hard as stone
Living in your world alone
I hope you let me in tonight
They want me to beware
You're dangerous but I don't care
I can't wait to have you in my arms

And maybe I'm naive for loving you
You're a cheat and a liar
But tonight you're everything I desire
You beautiful sinner
I love your wicked heart
Beautiful sinner
It's such a work of art

I didn't know that bad could love so good
You are the type of bad that feels so good

Beautiful sinner

And maybe you're the master of disguise and you are
Putting on and you're really the saint the good one
Are you here to save me from the crowd
If you are, then, baby, take me now

Beautiful sinner
I love your wicked heart
Beautiful sinner
It's such a work of art

I didn't know that bad could love so good
You are the type of bad that feels so good

You beautiful sinner"
4,Nicki Minaj,Hip Hop/Rap,18,Up In Flames,"We are going up in flames
One more night for us to burn brighter
We are going up in flames
One last time for us to go higher

Anyway lil' nigga don't test the kid
Even Maury Povich couldn't test the kid
Even R. Kelly couldn't touch the kid
And even with all your bars you couldn't text the kid
I got a pool that I never even swam in
Airports that you bitches never land in
They be like what you doing Nicki brandin'
Suck a cockpit, prepare for landin'
I'm brandin', I ain't talking about Press B
I keep a sniper, I ain't talking about Wesley
Why these bitches so pressed B
Open my trunk, all I gotta do is press B
Imma violate your asses like Chris Stokes
I'm on St. Troupez on a big boat
Go my way to make my billi like a big goat
Pull my dick out in case you bitches get a slick throat

We are going up in flames
One more night for us to burn brighter
We are going up in flames
One last time for us to go higher

Ru-ru-ru-runnin' in around, never get the rev
Got the clothing line poppin' and the wigs is next
When I fly you know G5 is the jet
I'm the motherfuckin' Queen, 'lizabeth
Meetings with the president of every network
That is what the fuck I call how to network
My net worth, that net works
Keep my shooters out in Brooklyn where the nets work
Chillin' with executives
Check the charts, all my winnings are consecutive
Trillion dollar deficit
But y'all don't hear me though, all you bitches deaf as shit
B-B-Bitches ain't go punchlines or flow
I have both and an empire also
Sell out shows out in Norway, Oslo
This is the Re-Up better cop it while it costs low
F-F-Flows sick, I-I-I'll slap a patient
I'm checkin' these bitches like an application
Cause these bitches trip on no navigation
So it's off with your head, decapitation
S-S-Send 'em up in flames like a firemen
I do the hirin' and I do the firin'
That boss shit that you talk, I live it
And I'm callin' a travel if you don't stay on your pivot
Bitches

We are going up in flames
One more night for us to burn brighter
We are going up in flames
One last time for us to go higher"
6,Nicki Minaj,Hip Hop/Rap,18,Young Forever,"I used to think that we'd run away
One lovely pretty summer day
I remember when you would say
""We'd be okay, come with me.""

I never knew you would lie to me
Take everything from inside of me
Your silhouette in the doorway
But before you walk away

Don't say goodbye, look in my eyes
So that I always will remember
Frozen in time, always be mine
Baby boy you'll be young forever

I'll be over here, you'll be over there
I'ma shed a tear but I really don't care
Frozen in time, always be mine
Baby boy you'll be young forever

I used to think that we'd reunite
I'd be your wife, in the real life
I thought that you'd come back for me
And you would take me away

I never knew only as a teen
You'd reappear, only in my dream
Your silhouette in the doorway
But before you walk away

Don't say goodbye, look in my eyes
So that I always will remember
Frozen in time, always be mine
Baby boy you'll be young forever

I'll be over here, you'll be over there
I'ma shed a tear but I really don't care
Frozen in time, always be mine
Baby boy you'll be young forever

This is my last cry
Is this the only way?
This is my own prison
I'm frozen in time, in time, in time

Don't say goodbye, look in my eyes
So that I always will remember
Frozen in time, always be mine
Baby boy you'll be young forever

I'll be over here, you'll be over there
Wanna shed a tear but I really don't care
Frozen in time, always be mine
Baby boy you'll be young forever

You'll always be mine, frozen in time
Young forever (young forever)"
7,Nicki Minaj,Hip Hop/Rap,18,I Lied,"Ooh ooh ooh
I lied, I lied, I lied
To keep you from breaking my heart

Even though I said I didn't love you I lied I lied
Even though I said I didn't need you I lied I lied
To keep you from breaking my heart, ooh
To keep you from breaking my heart, ooh
Even though I said don't touch me I lied, I lied
I can't fall for you, can't give my all to you
I can't let you think that Imma let the game stall for you
Gotta protect me you gotta sweat me
You said you thought you was ready and I said let's see
But I ain't mean that, I need some fucking proof
'Cause what happens if I fall in love then you cut me loose
You just a heart breaker won't let you break mine
'Cause I'll be smashing windows and cutting them break lines

I lied
'Cause who knew if I should let myself go with you
Who knows, who knows, so I lied
To keep you from breaking my heart, ooh
To keep you from breaking my heart, ooh

Even though I said fuck you, I lied, I lied
I thought eventually you would let me go
That was my insecurities and my ego
Missed my jump shot missed my free throw
Miss the way we kiss miss the d o
Man it was good while it lasted
That shit wasn't real it was magic
If it was a record it would have been classic
But fuck you though, orgasmic

This is what I gotta do to keep me from falling
Stalling the truth, who knew what you'd
Do If I let you in
My mama ain't raised no fool
I am not your usual typical type
Who would protect me if I never hide?
Falling so fast I am afraid of you

So I lied, I lied, I lied
To keep you from breaking my heart, ooh
To keep you from breaking my heart, ooh
I lied, ooh baby, ooh
'Cause what if I let myself go with you"
8,Nicki Minaj,Hip Hop/Rap,18,Roman In Moscow,"I'm Big Willie, no bike gear
I told you bitches last year I'm a rap bitch nightmare
That's why I call you Buzz Lightyear
'Cause by the time you start buzzin', bitch, you gon' have white hair
Paparazzi was a fright scare
When I landed out in London it was lookin' like Mike, dear

Mike Jack, who's bad?
Ain't on my period, but I got a new pad
Channel 5, news flash
Pussy clean, who smash?

None of y'all! Canary Yellow Bone!
These bitches should be worshippin' me in the synagogue!
Hum, hum, done the prayer
B-b-b-bitch I ball; underwear
Oh! Hum, hum, done the prayer?
Did I tell 'em that I ball; underwear?

Okay
Roman, y'all want the full Roman?
Roman, y'all want the full Roman?
Roman, y'all want the full Roman?
Roman, y'all want the full Roman?

Bitches is insane
These bitches ain't in my lane
Only bitches in the plane is bitches that give me brain!

Herro, this shit is lethal
Roman: this is the sequel
Moscow: that's where I came from
Under; he's fully charged

Your favorite rapper prolly suck
As for me, Icy; hockey puck
Anyway, I'm on that new shit
Every trend, I introduce it
Motherfuck you with a big dick

I'm a racist, I'm a bigot
Bitch, I'm thicker than a midget
Yeah I'm crazy-just a smidget
Motherfuck me, get my wumble
And some Kimmy for my knuckle!

Hold on... fuck you
Brace yourself; buck tooth
Yeah I golf; putt too
Swallow balls; nuts toooooooo

Camel toe
Roman, y'all want the full Roman?
Roman, y'all want the full Roman?
Roman, y'all want the full Roman?
Roman, y'all want the full Roman?

Bitches is insane
These bitches ain't in my lane
Only bitches in the plane is bitches that give me brain!
Yeah, ain't no motherfuckin' bridge, bitch

Ain't no motherfuckin' hook, ain't no motherfuckin' third motherfuckin' verse
Roman's back, bitch
I fucked up your life last year this time, remember dat?
Remember dat, bitch?
Remember dat, bitch?
I'm baaaaaaaaccccck

I double-dog dare ya, I double-dog dare ya
I double-dog dare any one of ya bitches to come out
I triple-dog dare ya, I triple-dog dare ya
I triple-dog dare any one of ya bitches to come out
I quadruple-dog dare ya, I quadruple-dog dare ya
I quadruple-dog dare any one of ya bitches to come out
I-uh-five times dare... you... bitch-ass hoes... yeah!"
9,Nicki Minaj,Hip Hop/Rap,18,Masquerade,"Feel the beat of the drum
Move like you really wanna be number one
You could beat out the comp
Run like you really wanna be at the top
Stop, adrenaline rush cause
You have been identified as a hustler
Topic of the discussion, but beat it like a percussion
Chuck the deuce up, and tell 'em it's just love

Damn diggity dog
Let them bums stay mad 'cause we living it up
Shelltops is on
And I'm popping, like I'm popping
Like I'm popping some corn

And now, I don't wanna take you
If you fall down
Don't get upset, and now is just the beginning
And we'll figure it out somehow

Right now masquerade, master the merry go round
Right now masquerade, master the merry go round
Right, now, it's something you create
It's never ever too late
It's never ever too late
Right now
Okay to make a mistake
Yeah baby this is your day
It's time to masquerade

Bass bass
Feel the bass in ya face
Hit the finish line
First place in the race
Yes, king kong on ya chest
Running and I'm coming up
Baton to your left
Yup, you could be who you want
You could be who you is
Never be who you aren't
Never ever fall on the pressure
Desperate times, get desperate mesure
Damn diggie dog
Like 'em run state mag 'cause we living it up
Shelve tops is on
And I pop it, like I'm popping
Like a popping sin call

And now, I don't wanna take you
If we fall dow
Don't get upset, and now it's just the beginning
And we'll figure it somehow

Right now masquerade, master the mary go round
Right now masquerade, master the mary go round
Right, now, it's something you created
It's never ever too late
It's never ever too late
Right now
Okay to make a mistake
Yeah baby this is your day
It's time to masquerade

I'ma call ya afro cause you never bald
Fuck all you bitches and I'll never call
Next day, suck my teste
I ain't playing games
Bit my check mate
Ring 019, ring 019, ring 019
All my party people let me say one time

Right now masquerade, master the mary go round
Right now masquerade, master the mary go round
Right, now, it's something you created
It's never ever too late
It's never ever too late
Right now
Okay to make a mistake
Yeah baby this is your day
It's time to masquerade
Right now"
10,Nicki Minaj,Hip Hop/Rap,18,Save Me,"I drove for miles just to find you
And find myself
All these screams
All these voices in my head
You gave me strength
Gave me hope
For a lifetime
I never was satisfied

This time won't you save me
This time won't you save me
Baby I can feel myself givin' up
This time won't you save me
This time won't you save me
Baby I can feel myself givin' up

It's not your fault
I'm a bitch
I'm a monster
Yes I'm a beast

And I feast when I conquer
But I'm alone
On my throne
All these riches
I came this way
All this way
Just to say

This time won't you save me
This time won't you save me
Baby I can feel myself givin' up
This time won't you save me
This time won't you save me
Baby I can feel myself givin' up

I'm givin' up baby
Yes
I'm givin' up baby

spoken:
(Feels like I've been driving for miles and I can't seem to silence these voices in my head. Who'll save me?)

This time won't you save me
This time won't you save me
Baby I can feel myself givin' up
This time won't you save me
This time won't you save me
Baby I can feel myself givin' up"
11,Nicki Minaj,Hip Hop/Rap,18,Fire Burns,"You shoulda left, the other day
You let me beg, for you to stay
This is a sickening joke that you play with my emotions
And so I pray you burn in hell and you never find the ocean...

I hope your fire, fire burns baby
I hope your fire, fire burns baby
I hope you lay down in your sleep and you choke on every lie you told
And when you're reaching out for me you'll see you reap everything you sow

You piece of shit, you broke me down
Thought you said you, would hold me down
But I can see it in your eyes that your blinded by the flashing lights
And you's a stupid muthafucker for letting this thing pass you by

I hope your fire, fire burns baby
I hope your fire, fire burns baby
I hope you lay down in your sleep and you choke on every lie you told
And when you're reaching out for me you'll see you reap everything you sow"
